,Symbol,Name,ListedDate,InstitutionID,SecurityID,FullName,ShareType,BoardID,ShareType2
1364,1528,紅星美凱龍,2015-06-26,10102651,201004158857,紅星美凱龍家居集團股份有限公司,H,P3401,2
795,857,中國石油股份,2000-04-07,104710,201000001964,中國石油天然氣股份有限公司,H,P3401,2
2444,6865,福萊特玻璃,2015-11-26,10232774,201004161946,福萊特玻璃集團股份有限公司,H,P3401,2
2131,2866,中遠海發,2004-06-16,102802,201000002534,中遠海運發展股份有限公司,H,P3401,2
2309,3996,中國能源建設,2015-12-10,10261205,201004162252,中國能源建設股份有限公司,H,P3401,2
2447,6869,長飛光纖光纜,2014-12-10,10138597,201004156429,長飛光纖光纜股份有限公司,H,P3401,2
2136,2880,遼港股份,2006-04-28,102806,201000002538,遼寧港口股份有限公司,H,P3401,2
2451,6881,中國銀河,2013-05-22,104096,201000002688,中國銀河證券股份有限公司,H,P3401,2
1663,1880,中國中免,2022-08-25,104159,201000002389,中國旅遊集團中免股份有限公司,H,P3401,2
1679,1898,中煤能源,2006-12-19,103413,201000002396,中國中煤能源股份有限公司,H,P3401,2
2145,2899,紫金礦業,2003-12-23,103464,201000002544,紫金礦業集團股份有限公司,H,P3401,2
1782,2016,浙商銀行,2016-03-30,10245,201004164952,浙商銀行股份有限公司,H,P3401,2
1698,1919,中遠海控,2005-06-30,103703,201000002402,中遠海運控股股份有限公司,H,P3401,2
875,939,建設銀行,2005-10-27,103400,201000002036,中國建設銀行股份有限公司,H,P3401,2
1734,1963,重慶銀行,2013-11-06,10350,201000069775,重慶銀行股份有限公司,H,P3401,2
2303,3988,中國銀行,2006-06-01,103009,201000002662,中國銀行股份有限公司,H,P3401,2
917,991,大唐發電,1997-03-21,102012,201000002075,大唐國際發電股份有限公司,H,P3401,2
1775,2009,金隅集團,2009-07-29,103319,201000002420,北京金隅集團股份有限公司,H,P3401,2
2284,3908,中金公司,2015-11-09,104393,201004161427,中國國際金融股份有限公司,H,P3401,2
924,998,中信銀行,2007-04-27,104133,201000002081,中信銀行股份有限公司,H,P3401,2
2351,6127,昭衍新藥,2021-02-26,10147074,201004193487,北京昭衍新藥研究中心股份有限公司,H,P3401,2
2015,2359,藥明康德,2018-12-13,105002,201004182583,無錫藥明康德新藥開發股份有限公司,H,P3401,2
2308,3993,洛陽鉬業,2007-04-26,103011,201000002664,洛陽欒川鉬業集團股份有限公司,H,P3401,2
1907,2218,安德利果汁,2011-01-19,103012,201000002446,煙臺北方安德利果汁股份有限公司,H,P3401,2
2300,3969,中國通號,2015-08-07,10147724,201004159594,中國鐵路通信信號股份有限公司,H,P3401,2
1659,1877,君實生物,2018-12-24,10149013,201004182704,上海君實生物醫藥科技股份有限公司,H,P3401,2
2368,6185,康希諾生物,2019-03-28,10416156,201004183942,康希諾生物股份公司,H,P3401,2
2280,3898,時代電氣,2006-12-20,102894,201000002651,株洲中車時代電氣股份有限公司,H,P3401,2
2358,6160,百濟神州,2018-08-08,10364994,201004180999,百濟神州有限公司,H,P3401,
1641,1858,春立醫療,2015-03-11,10108319,201004157190,北京市春立正達醫療器械股份有限公司,H,P3401,2
3071,9995,榮昌生物-B,2020-11-09,10505905,201004191828,榮昌生物製藥(煙臺)股份有限公司,H,P3401,2
2048,2402,億華通,2023-01-12,10313778,201004233685,北京億華通科技股份有限公司,H,P3401,2
2430,6826,昊海生物科技,2015-04-30,10113765,201004158111,上海昊海生物科技股份有限公司,H,P3401,2
1267,1385,上海復旦,2014-01-08,102833,201000069824,上海復旦微電子集團股份有限公司,H,P3401,2
2597,8102,上海復旦,2000-08-04,102833,201000002773,上海復旦微電子集團股份有限公司,H,P3403,
1238,1349,復旦張江,2013-12-16,103875,201000069805,上海復旦張江生物醫藥股份有限公司,H,P3401,2
2737,8231,復旦張江,2002-08-13,103875,201000002866,上海復旦張江生物醫藥股份有限公司,H,P3403,
907,981,中芯國際,2004-03-18,103784,201000002065,中芯國際集成電路製造有限公司,H,P3401,1
